Name,Rarity,Odds,Id
Ankle Cutter,uncommon,1,4-8
Ashen Snakepit,rare,1,5-29
Bad News,legendary,1,2-30
Barbarian Camp,common,1,3-29
Birthright,legendary,1,4-42
Blademaster Daimyo,legendary,1,6-39
Bladerang,legendary,1,5-21
Blazing Renegade,common,1,0-4
Blurreechaser,common,1,6-7
Bottoms Up,uncommon,1,5-2
Brazen Daredevil,rare,1,1-19
"Brenn, Arch-Magister",legendary,1,6-43
Burn Out,uncommon,1,1-28
Calderan Gunsmith,uncommon,3,1-46
Call to Arms,uncommon,3,6-19
Centaur Outrider,common,1,1-35
Centaur Raidleader,uncommon,1,1-50
Char,common,1,6-3
Charchain Flail,rare,1,1-3
Claw of the First Dragon,legendary,1,1-59
"Clodagh, Loyal Advisor",rare,1,6-9
Cloud of Ash,uncommon,3,1-39
Combustion Brawler,uncommon,1,6-34
Conflagrate,common,3,5-7
Coverfire Marksman,uncommon,1,6-21
"Criva, the Crimson Scythe",rare,1,4-30
Crowd Favorite,uncommon,1,1-58
Dashing Rapscallion,rare,1,4-43
Dusthoof Brawler,common,1,1-49
Eclipse Dragon,rare,3,6-35
Feed the Flames,uncommon,3,4-3
Final Shot,uncommon,1,4-47
Fireheart Recruit,common,1,5-14
Firemane Cub,uncommon,1,2-1
Firemane Lioness,uncommon,1,5-8
Flamebelcher,rare,3,4-10
Flamebrewer,legendary,1,5-20
Flametail Whip,rare,3,5-12
Flash Fire,uncommon,3,0-6
Forge Wolf,common,1,2-2
Frontier Bard,uncommon,3,4-19
Gold Mine,rare,3,6-22
Granite Acolyte,common,3,1-31
Granite Coin,common,1,6-1
Granite Ring,uncommon,1,2-9
Gravemarker Oni,uncommon,3,4-39
Grenade,uncommon,3,2-10
Heavy Axe,common,1,1-4
Hellfire Oni,uncommon,3,3-30
Hellfire Rifle,common,3,1-55
Helpful Doorbot,common,1,3-2
Hidden Shiv,uncommon,1,2-4
Hoof Slash,common,1,3-18
Hordeleader,uncommon,3,5-30
Hotblood Barbarian,common,3,4-12
Iceberg Frontrunner,common,1,3-3
Incendiary Slagmite,rare,1,6-14
Infernus,rare,1,1-45
"Kaleb, Uncrowned Prince",legendary,1,1-61
Kaleb's Favor,common,3,0-3
Kaleb's Persuader,legendary,1,6-29
Kaleb's Sanctum,rare,3,6-30
Kennelmaster,legendary,1,3-5
"Kyojun, Grand Shugo",legendary,1,3-31
Library Phoenix,rare,1,2-22
Light the Fuse,legendary,1,1-6
Longbarrel,rare,3,4-5
Magma Javelin,common,1,1-41
Manufacture,common,3,4-22
Mining Team,common,1,6-31
Notorious Scoundrel,rare,3,5-9
Oni Cavediver,uncommon,1,3-11
Oni Forgemaster,common,3,5-10
Oni Patrol,common,3,6-5
Oni Quartermaster,uncommon,3,1-32
Outlands Sniper,uncommon,1,1-42
Outlaw Ringleader,uncommon,1,6-32
Overheat,common,1,4-34
Phoenix Hammer,rare,1,5-32
Piercing Shot,uncommon,3,1-25
Plunder,uncommon,1,5-11
Pouncing Drake,rare,3,2-28
Pyre Adept,common,1,1-21
Raging Firemaw,legendary,1,6-33
Rakano Flagbearer,uncommon,1,1-27
Rally,common,1,1-33
Rampage,common,1,1-17
Rebel Illuminator,uncommon,1,1-43
Rebel Sharpshooter,common,1,1-30
Recogulator,common,1,1-37
"Rika, Desert Navigator",rare,1,4-25
Rock Carapace,legendary,1,3-48
Ruckus Rouser,uncommon,1,5-24
Ruin,common,3,1-15
Ruination Sledge,common,1,4-14
Ruincrawler Yeti,uncommon,1,3-22
Rusty Grenamotive,uncommon,1,4-26
Scale Seeker,legendary,1,4-15
Shiftstone Processor,rare,3,5-19
Shingane Captain,rare,3,5-33
Shingane Firebrand,rare,3,5-25
Shogun of the Wastes,legendary,1,1-51
Siege Breaker,rare,1,5-26
"Sindok, Rage Incarnate",legendary,1,2-34
Sizzleback Salamander,common,1,6-25
Sky Terror,legendary,1,3-43
Softfoot Burglar,common,3,5-5
Soulfire Drake,legendary,1,1-47
Steelbound Dragon,rare,3,1-60
Steelfang Chakram,rare,3,1-38
Stonehewer,rare,1,6-6
Stonepowder Heretic,uncommon,1,2-29
Stonescar Excavator,rare,3,2-14
Stonescar Maul,uncommon,1,1-52
Streets Aflame,common,1,6-26
Stronghold Vandal,uncommon,1,6-17
Sunscorched Elemental,uncommon,1,5-34
Sureshot,rare,1,3-44
Tantrum,uncommon,1,6-27
Ticking Grenadin,common,1,1-12
Trail Stories,rare,1,1-188
Tumblebang,uncommon,1,3-27
Twinflame,uncommon,1,6-45
Urn of Choking Embers,uncommon,3,5-6
Warpainter,common,3,4-27
Waystone Elemental,rare,1,6-38
Worldpyre Phoenix,rare,1,1-54
Accelerate,common,3,1-85
Accelerated Impact,rare,3,3-60
Adolescent Deathjaw,uncommon,3,6-52
Ageless Mentor,uncommon,1,1-90
Amaran Armadillo,rare,3,4-60
Amber Acolyte,common,1,1-93
Amber Coin,common,3,6-46
Amber Ring,uncommon,1,2-45
Ancient Lore,uncommon,3,1-105
Ancient Terrazon,legendary,1,1-119
Antique Polisher,rare,1,5-51
Araktodon Egg,common,1,5-41
Arcanum Hourglass,rare,3,4-69
Archive Curator,common,1,2-50
Ask for Directions,rare,1,3-61
Awaken the Ages,common,1,5-52
Azurite Prixis,legendary,1,3-52
Beckoning Lumen,rare,3,2-59
Belching Behemoth,common,1,2-68
Bold Adventurer,common,1,1-77
Bulbous Humbug,uncommon,1,6-61
Burdenbearer Wisp,uncommon,1,6-53
Clockroach,rare,3,1-94
Crested Runt,rare,1,5-40
Cryptic Master,rare,3,6-54
Cult Aspirant,uncommon,3,2-35
Death Pit,rare,1,6-62
Disjunction,common,3,3-63
Displaced Oryctodon,common,1,6-56
Dune Phantom,uncommon,1,1-89
End of Days,legendary,1,4-91
Etched Monolith,rare,1,5-69
"Evelina, Valley Searcher",rare,1,2-48
Forgotten Find,rare,1,2-40
"Ghar, Master Sandmage",legendary,1,6-49
Glimpse the Possibilities,legendary,1,6-57
"Gnash, Pridemaster",legendary,1,4-79
Healer's Cloak,uncommon,1,1-98
Hesitate,rare,1,3-56
Horn of Plenty,common,1,6-82
Horned Vorlunk,common,3,1-503
Humbug,common,3,1-72
Infinite Hourglass,uncommon,1,1-67
Initiation Bell,uncommon,3,4-73
Insatiable Serasaur,rare,1,4-80
Invoke the Waystones,legendary,1,3-88
Journey Guide,common,3,4-53
"Kimi, Expedition Guide",rare,3,6-64
Last Rites,uncommon,3,4-62
Learned Herbalist,common,1,4-63
Living Example,common,3,4-64
Living Offering,uncommon,3,4-65
Locust Hatcher,rare,3,6-85
Lumen Attendant,uncommon,1,4-81
Lumen Colossus,legendary,1,6-89
Lumen Reclaimer,legendary,1,3-80
Lumen Shepherd,uncommon,1,1-117
Maddening Whisper,uncommon,1,5-59
"Marisen, the Eldest",legendary,1,1-123
Mesmerized Moth,uncommon,3,5-53
Mute,common,1,6-78
Novice Entomancer,uncommon,1,6-65
Oasis Sanctuary,common,1,0-15
Omnivorous Vorlunk,common,1,6-66
Ornamental Daggers,common,3,1-69
Patience,uncommon,1,6-67
Perilous Research,legendary,1,6-68
Plated Goliath,uncommon,1,2-64
Porcelain Mask,uncommon,1,5-47
Praxis Displacer,uncommon,3,1-100
Predator's Instinct,common,3,1-75
Predatory Carnosaur,rare,3,1-118
Premonition Wisp,uncommon,1,3-71
Quicksilver Ooze,common,1,6-69
Randori,rare,3,4-56
"Ravid, Insect Master",legendary,1,5-72
Refreshing Waters,uncommon,1,6-86
Resolute Monk,uncommon,1,5-48
Rhinarc Huntpack,legendary,1,2-67
Sanctuary Priest,common,1,1-73
Sandspitter,rare,1,3-81
Sauropod Wrangler,common,1,1-83
Scorpion,common,1,5-42
Scorpion Wasp,uncommon,3,1-96
Search Party,uncommon,1,6-70
Secret Pages,uncommon,1,1-81
Shepherd's Horn,rare,1,2-49
Silence,uncommon,1,0-9
Sirocco Elementalist,common,1,4-74
Slow,uncommon,1,1-70
Staff of Speed,uncommon,3,4-57
Steward of Prophecy,rare,1,1-97
Stillweave Shroud,uncommon,3,6-71
Stinging Wind,uncommon,1,4-85
Striking Snake Formation,rare,1,1-112
Sustaining Harp,uncommon,1,5-49
Swirl the Sands,uncommon,1,6-73
Synchronized Strike,common,1,1-88
"Talir, Unbound",legendary,1,3-93
"Talir, Who Sees Beyond",legendary,1,1-124
Talir's Favored,common,1,0-11
Talir's Sanctum,rare,1,6-74
Teleport,common,3,1-80
Temple Artisan,uncommon,1,5-62
Temple Captain,rare,1,5-71
Temporal Adept,uncommon,1,6-80
The Praxis Arcanum,legendary,1,5-56
Thrashing Dune Wurm,legendary,1,5-63
Time Flies,legendary,1,4-58
Timekeeper,uncommon,3,0-14
Towering Terrazon,common,1,1-114
Towertop Patrol,common,1,1-101
Trail Maker,common,1,3-65
Twinbrood Sauropod,uncommon,3,1-113
Unlock Potential,uncommon,1,1-76
Unraveling Fanatic,rare,3,5-55
Vapor Hut,rare,1,5-50
Vault of the Praxis,rare,3,1-480
Venomous Mount,uncommon,1,6-83
Viper's Bite,common,3,2-55
Voice of the Speaker,rare,3,1-78
Voyaging Lumen,common,1,2-66
Wandering Wisp,legendary,1,2-38
Water of Life,common,3,1-68
Waystone Infuser,rare,1,2-63
Wurm Bait,legendary,1,6-59
Wurmcalling,rare,3,4-76
Xenan Guardian,common,1,1-102
Adjudicator's Gavel,rare,3,5-76
Auric Sentry,uncommon,1,1-146
Auric Weaponsmith,uncommon,3,5-97
Avigraft,rare,3,5-95
Axe Sharpener,uncommon,3,5-81
Barricade,rare,3,4-106
Brightmace Paladin,common,1,1-147
Bronze Cuirass,uncommon,1,1-148
Caltrops,rare,3,3-126
Ceremonial Mask,uncommon,1,1-178
Challenge by Law,rare,3,3-140
Citywide Ban,rare,3,4-127
Civic Peacekeeper,common,1,1-180
Combrei Magister,uncommon,1,1-160
Copperhall Blessing,rare,3,1-168
Copperhall Chancellor,legendary,1,6-117
Copperhall Recruit,common,1,1-158
Crownwatch Captain,rare,1,5-105
Crownwatch Longsword,common,3,1-142
Crownwatch Paladin,uncommon,1,1-139
Curse of Taxation,uncommon,3,3-127
Defender's Bulwark,rare,1,5-106
Detain,common,3,1-133
Downfall,common,3,4-135
Elder's Feather,uncommon,1,1-128
Embargo Officer,rare,1,6-92
Emerald Acolyte,common,1,1-153
Emerald Coin,common,3,6-91
Emerald Ring,uncommon,3,2-80
Encouragement,uncommon,1,4-107
Endure,common,1,5-75
Fall Short,common,1,5-84
Finest Hour,common,1,1-130
Fourth-Tree Elder,uncommon,1,1-176
Fur Hat,uncommon,1,5-88
Gilded Glaive,uncommon,1,1-125
Golem Press,rare,3,5-85
Hammer of Authority,legendary,1,3-138
Harmless Question,uncommon,1,4-98
Headhunter,uncommon,3,6-94
Hero of the People,uncommon,1,1-156
High Alert,common,3,6-118
Hooru Envoy,rare,3,1-155
Hooru Fledgling,common,1,1-159
Horngrinder,uncommon,1,2-96
Humble Instructor,uncommon,1,3-103
Imperial Loyalist,rare,3,5-98
Inner Might,uncommon,1,6-108
Ironfist Archon,rare,1,4-140
Isolate,uncommon,1,6-97
"Kemmo, Ijin's Apprentice",legendary,1,5-89
Kemmo's Blueprints,uncommon,1,6-109
"Kira, the Prodigy",rare,3,6-98
Kosul Diplomat,common,1,5-87
Kosul Elite,rare,3,5-90
Kosul Recruit,common,1,5-91
Last Stand at the Gate,legendary,1,3-148
Loyal Watchwing,common,1,1-150
Mantle of Justice,uncommon,3,0-21
Mark of Shame,uncommon,3,1-165
Minotaur Grunt,common,1,1-137
Minotaur Oathkeeper,common,3,2-70
"Minsod, the Peerless",legendary,1,3-149
Mithril Mace,common,1,1-171
"Nikos, the Unifier",legendary,1,6-131
Oathkeeper's Hammer,common,1,5-108
Oni Samurai,common,3,5-78
Order of the Spire,rare,3,1-149
Peacekeeper's Helm,common,1,4-101
