Name,Rarity,Odds,Id
Emblem of Shavka,Rare,1,7-1
"Akko, Inspired Artist",Legendary,1,7-2
Edict of Shavka,Uncommon,1,7-3
Breath of Voprex,Common,1,7-4
Desperate Gambit,Common,1,7-5
Shavka Evangel,Common,1,7-6
Sol's Fury,Common,1,7-7
Teething Whelp,Uncommon,1,7-8
Warbrush Oni,Common,1,7-9
Cozin Darkheart,Legendary,1,7-10
Draconic Ire,Rare,1,7-11
Dragon Forge,Uncommon,1,7-12
Funeral Pyre,Uncommon,1,7-13
Gaudy Showman,Common,1,7-14
Magebreaker,Rare,1,7-15
Razorwire Totemite,Common,1,7-16
Cindermaw Tota,Common,1,7-17
"Galai, Shavka's Listener",Legendary,1,7-18
Harmony of Flame,Rare,1,7-19
Relentless Combatant,Common,1,7-20
Tota Colony,Rare,1,7-21
Warhorn,Common,1,7-22
Burning Claw,Uncommon,1,7-23
Dramatic Exit,Uncommon,1,7-24
Flamekeeper,Uncommon,1,7-25
Living Mountain,Common,1,7-26
Slayer's Edge,Uncommon,1,7-27
Skyfire Hellkite,Uncommon,1,7-28
Stonesmelt Dragon,Rare,1,7-29
Spear of the Dying Sun,Legendary,1,7-30
Emblem of Grodov,Rare,1,7-31
Reap,Rare,1,7-32
Ardent Convert,Common,1,7-33
Ark of Sol,Rare,1,7-34
Aspirant's Robes,Uncommon,1,7-35
Borderlands Lookout,Uncommon,1,7-36
Mettle,Common,1,7-37
Xultan Brushfang,Uncommon,1,7-38
Chant to Grodov,Common,1,7-39
Grodov Evangel,Common,1,7-40
High Prophet of Sol,Uncommon,1,7-41
Snapping Hydrangea,Rare,1,7-42
Spiketail Qirin,Common,1,7-43
Unmake,Uncommon,1,7-44
Eager Offering,Uncommon,1,7-45
Edict of Grodov,Uncommon,1,7-46
"Gnash, Unrelenting",Legendary,1,7-47
Proselytize,Common,1,7-48
Swaying Sea Qirin,Common,1,7-49
Wilderness Refuge,Common,1,7-50
Cult Recruiter,Common,1,7-51
Waystone Fragment,Rare,1,7-52
"Woda, Grodov's Listener",Legendary,1,7-53
Anthem of Grodov,Legendary,1,7-54
Vinepetal Creeper,Common,1,7-55
Grodov's Favored,Common,1,7-56
Majestic Mandrake,Uncommon,1,7-57
"Merizo, Gladiator Hero",Rare,1,7-58
Mountain Goliath,Uncommon,1,7-59
Sol's Rest,Legendary,1,7-60
Emblem of Kodosh,Rare,1,7-61
Draw Strength,Common,1,7-62
Ghostblade Outcast,Uncommon,1,7-63
Inflict Conscience,Common,1,7-64
Prancing Gryffyn,Common,1,7-65
Press the Advantage,Rare,1,7-66
"Shen-Ra, Unbreakable",Legendary,1,7-67
Edict of Kodosh,Uncommon,1,7-68
"Hanaka, Loremaster",Rare,1,7-69
Kodosh Evangel,Common,1,7-70
Lay Siege,Legendary,1,7-71
Stand Strong,Common,1,7-72
Xultan Paladin,Common,1,7-73
Crowd Queller,Common,1,7-74
Forgemark Scrivener,Uncommon,1,7-75
Hexcaster,Uncommon,1,7-76
Nivia's Inquisitor,Uncommon,1,7-77
Oni Stalwart,Common,1,7-78
Seasoned Drillmaster,Uncommon,1,7-79
Soothing Shortbeak,Rare,1,7-80
Storm of Feathers,Common,1,7-81
Cleansing Rain,Uncommon,1,7-82
"Ezuzi, Kodosh's Listener",Legendary,1,7-83
Mercy of Kodosh,Rare,1,7-84
Mistrust,Uncommon,1,7-85
Rent Seeker,Common,1,7-86
Longtail Cavalry,Common,1,7-87
Ageworn Vestige,Legendary,1,7-88
Kodosh Sees All,Uncommon,1,7-89
Soulflame Rider,Rare,1,7-90
Emblem of Linrei,Rare,1,7-91
Icy Gaze,Common,1,7-92
Snowstorm Druid,Uncommon,1,7-93
"Socrato, Furyheart",Legendary,1,7-94
Edict of Linrei,Uncommon,1,7-95
Linrei Evangel,Common,1,7-96
